section,metric,real,synthetic,synthetic_to_real_ratio,unit
events,events,48471,552,0.0113883,count
events,events_per_day,6924.43,78.8571,0.0113883,events/day
events,daily_cv,0.219933,0.175117,0.796228,ratio
events,sensor_count,10,16,1.6,count
events,sensor_concentration,0.250727,0.219203,0.874268,ratio
events,sensor_cv,0.742252,0.819257,1.10374,ratio
events,active_ratio,0.500031,0.487319,0.974577,ratio
events,duplicate_state_ratio,0.230385,0,0,ratio
events,activation_duration_median_sec,2.89257,3,1.03714,seconds
events,activation_duration_p95_sec,8.78161,18097,2060.78,seconds
events,inter_event_gap_median_sec,1.4756,0,0,seconds
events,inter_event_gap_p95_sec,15.7192,5934.25,377.516,seconds
distribution,hourly_jensen_shannon_divergence,0,0.312937,,bits (0=identical)
distribution,hourly_histogram_wasserstein,0,3.83555,,hour-bin distance
adl,count,256,76,0.296875,count
adl,count_per_day,36.5714,10.8571,0.296875,intervals/day
adl,category_count,8,7,0.875,count
adl,duration_median_min,5.53481,38.647,6.98253,minutes
adl,duration_p95_min,124.888,421.891,3.37816,minutes
adl,start_time_sd_median_min,236.384,20.5193,0.0868048,minutes
network,nodes,16,16,1,count
network,edges,125,38,0.304,count
network,density,0.520833,0.158333,0.304,ratio/bits
network,self_edge_ratio,0,0,,ratio/bits
network,reversible_edge_ratio,0.928,1,1.07759,ratio/bits
network,mean_outgoing_entropy_bits,1.69618,0.875817,0.516347,ratio/bits
network,other_duration_ratio,0.0206425,0.727255,35.2309,ratio/bits
adl_count_by_label,Housework,9,7,0.777778,count
adl_median_duration_by_label,Housework,10.3911,57.0587,5.49113,minutes
adl_count_by_label,Meal,95,14,0.147368,count
adl_median_duration_by_label,Meal,3.57658,33.8507,9.46454,minutes
adl_count_by_label,Other_ADL,1,0,0,count
adl_median_duration_by_label,Other_ADL,1.74278,0,0,minutes
adl_count_by_label,Outing,40,14,0.35,count
adl_median_duration_by_label,Outing,0.0775374,142.922,1843.26,minutes
adl_count_by_label,Relax,66,14,0.212121,count
adl_median_duration_by_label,Relax,16.2273,187.254,11.5394,minutes
adl_count_by_label,Sleep,17,7,0.411765,count
adl_median_duration_by_label,Sleep,207.12,422.279,2.03881,minutes
adl_count_by_label,Toileting,0,6,,count
adl_median_duration_by_label,Toileting,0,5.57694,,minutes
adl_count_by_label,Wake-up,9,14,1.55556,count
adl_median_duration_by_label,Wake-up,2.64959,19.4725,7.34924,minutes
adl_count_by_label,Work,19,0,0,count
adl_median_duration_by_label,Work,3.88793,0,0,minutes
hourly_event_share,hour_00,0.019228,0.115942,6.02986,share
hourly_event_share,hour_01,0.000969652,0,0,share
hourly_event_share,hour_02,0.000412618,0,0,share
hourly_event_share,hour_03,0.00309463,0,0,share
hourly_event_share,hour_04,0.00272328,0,0,share
hourly_event_share,hour_05,0.00391987,0,0,share
hourly_event_share,hour_06,0.00759217,0.0289855,3.81782,share
hourly_event_share,hour_07,0.0254998,0.173913,6.82018,share
hourly_event_share,hour_08,0.0802954,0.188406,2.34641,share
hourly_event_share,hour_09,0.107404,0.0434783,0.404809,share
hourly_event_share,hour_10,0.0960987,0.0144928,0.150811,share
hourly_event_share,hour_11,0.0567968,0.0434783,0.765505,share
hourly_event_share,hour_12,0.0277692,0.130435,4.69711,share
hourly_event_share,hour_13,0.0331332,0.0217391,0.656113,share
hourly_event_share,hour_14,0.0341648,0,0,share
hourly_event_share,hour_15,0.0492872,0,0,share
hourly_event_share,hour_16,0.06344,0,0,share
hourly_event_share,hour_17,0.120773,0.0869565,0.719998,share
hourly_event_share,hour_18,0.0689278,0.123188,1.78721,share
hourly_event_share,hour_19,0.0683089,0.0289855,0.42433,share
hourly_event_share,hour_20,0.0426234,0,0,share
hourly_event_share,hour_21,0.0238699,0,0,share
hourly_event_share,hour_22,0.0239937,0,0,share
hourly_event_share,hour_23,0.0396732,0,0,share
