section,metric,functional,realistic_calibrated,aruba,realistic_to_functional_ratio,unit
research_sensor_events,events,552,1616,48471,2.92753623,events
research_sensor_events,events_per_day,78.8571429,230.857143,6924.42857,2.92753623,events/day
research_sensor_events,sensor_count,16,34,10,2.125,sensors
research_sensor_events,room_category_count,8,8,10,1,rooms
research_sensor_events,daily_cv,0.175116608,0.154132612,0.21993273,0.880171295,ratio
research_sensor_events,activation_duration_median_sec,3,4,2.8925695,1.33333333,seconds
research_sensor_events,activation_duration_p95_sec,18096.9733,3033.81485,8.7816085,0.167642113,seconds
research_sensor_events,same_sensor_reactivation_median_sec,18567.0792,5364.49822,6.550476,0.288925262,seconds
research_sensor_events,room_transitions,134,234,7713,1.74626866,transitions
full_log,raw_full_events,943,2109,,2.23647932,events
full_log,raw_full_events_per_day,134.714286,301.285714,,2.23647932,events/day
full_log,state_vector_changes,939,2100,,2.23642173,changes
full_log,adl_internal_device_events,766,1894,,2.47258486,events
adl,adl_intervals,76,84,256,1.10526316,intervals
adl,adl_intervals_per_day,10.8571429,12,36.5714286,1.10526316,intervals/day
adl,adl_category_count,7,7,8,1,categories
adl,adl_duration_median_min,38.6469999,40.1558588,5.53481206,1.03904207,minutes
adl,adl_duration_p95_min,421.89073,404.088113,124.88758,0.957802777,minutes
adl,adl_start_time_sd_median_min,20.5192763,178.444032,236.384056,8.69640966,minutes
research_pipeline,compressed_state_intervals,213,423,34170,1.98591549,intervals
research_pipeline,state_transitions,212,422,34169,1.99056604,transitions
research_pipeline,adl_internal_state_changes,136,334,14795,2.45588235,changes
research_pipeline,observed_mapped_representative_states,7,12,15,1.71428571,states
research_network,representative_state_count,15,15,15,1,states
research_network,network_node_count,16,16,16,1,nodes
research_network,network_edge_count,38,44,176,1.15789474,edges
research_network,other_duration_ratio,0.727254886,0.261185731,0.0205917078,0.35913919,ratio
hourly_event_count,hour_00,64,102,932,1.59375,events
hourly_event_count,hour_01,0,0,47,,events
hourly_event_count,hour_02,0,0,20,,events
hourly_event_count,hour_03,0,24,150,,events
hourly_event_count,hour_04,0,20,132,,events
hourly_event_count,hour_05,0,0,190,,events
hourly_event_count,hour_06,16,16,368,1,events
hourly_event_count,hour_07,96,118,1236,1.22916667,events
hourly_event_count,hour_08,104,188,3892,1.80769231,events
hourly_event_count,hour_09,24,98,5206,4.08333333,events
hourly_event_count,hour_10,8,66,4658,8.25,events
hourly_event_count,hour_11,24,82,2753,3.41666667,events
hourly_event_count,hour_12,72,12,1346,0.166666667,events
hourly_event_count,hour_13,12,48,1606,4,events
hourly_event_count,hour_14,0,44,1656,,events
hourly_event_count,hour_15,0,0,2389,,events
hourly_event_count,hour_16,0,36,3075,,events
hourly_event_count,hour_17,48,116,5854,2.41666667,events
hourly_event_count,hour_18,68,106,3341,1.55882353,events
hourly_event_count,hour_19,16,102,3311,6.375,events
hourly_event_count,hour_20,0,162,2066,,events
hourly_event_count,hour_21,0,62,1157,,events
hourly_event_count,hour_22,0,174,1163,,events
hourly_event_count,hour_23,0,40,1923,,events
room_event_count,Bathroom,0,0,1512,,events
room_event_count,Bedroom,0,0,8106,,events
room_event_count,DiningRoom,0,0,3432,,events
room_event_count,GuestRoom,0,0,3098,,events
room_event_count,Kitchen,0,0,12153,,events
room_event_count,LivingRoom,0,0,8320,,events
room_event_count,LoungeChair,0,0,6800,,events
room_event_count,OtherRoom,0,0,1384,,events
room_event_count,OutsideDoor,0,0,564,,events
room_event_count,WorkArea,0,0,3102,,events
room_event_count,bathroom,27,240,0,8.88888889,events
room_event_count,bedroom,14,49,0,3.5,events
room_event_count,dining_room,15,84,0,5.6,events
room_event_count,entrance,59,58,0,0.983050847,events
room_event_count,hallway,367,687,0,1.8719346,events
room_event_count,kitchen,15,380,0,25.3333333,events
room_event_count,living_room,40,109,0,2.725,events
room_event_count,outside,15,9,0,0.6,events
adl_interval_count_by_label,Housework,7,2,9,0.285714286,intervals
adl_median_duration_by_label,Housework,57.0587018,98.6602714,10.3910694,1.72910123,minutes
adl_interval_count_by_label,Meal,14,35,95,2.5,intervals
adl_median_duration_by_label,Meal,33.8506671,38.5430311,3.57657773,1.13861954,minutes
adl_interval_count_by_label,Other_ADL,0,0,1,,intervals
adl_median_duration_by_label,Other_ADL,0,0,1.74278048,,minutes
adl_interval_count_by_label,Outing,14,9,40,0.642857143,intervals
adl_median_duration_by_label,Outing,142.921689,11.3338693,0.0775373583,0.0793012556,minutes
adl_interval_count_by_label,Relax,14,9,66,0.642857143,intervals
adl_median_duration_by_label,Relax,187.253584,174.456991,16.2273032,0.931661695,minutes
adl_interval_count_by_label,Sleep,7,7,17,1,intervals
adl_median_duration_by_label,Sleep,422.279499,423.065545,207.120141,1.00186144,minutes
adl_interval_count_by_label,Toileting,6,11,0,1.83333333,intervals
adl_median_duration_by_label,Toileting,5.57693847,4.43224835,0,0.794745787,minutes
adl_interval_count_by_label,Wake-up,14,11,9,0.785714286,intervals
adl_median_duration_by_label,Wake-up,19.4724645,33.6322435,2.64958803,1.72716933,minutes
adl_interval_count_by_label,Work,0,0,19,,intervals
adl_median_duration_by_label,Work,0,0,3.88793408,,minutes
daily_event_count,day_1,88,264,6336,3,events
daily_event_count,day_2,64,168,8150,2.625,events
daily_event_count,day_3,96,208,5634,2.16666667,events
daily_event_count,day_4,64,232,8194,3.625,events
daily_event_count,day_5,64,218,5834,3.40625,events
daily_event_count,day_6,80,286,9376,3.575,events
daily_event_count,day_7,96,240,4947,2.5,events
sensor_event_count_by_id,Bathroom,0,0,1512,,events
sensor_event_count_by_id,Bedroom,0,0,8106,,events
sensor_event_count_by_id,C_FRIDGE,0,35,0,,events
sensor_event_count_by_id,C_FRONT,1,1,0,1,events
sensor_event_count_by_id,D_BATH_HALL,53,105,0,1.98113208,events
sensor_event_count_by_id,D_BED_HALL,27,43,0,1.59259259,events
sensor_event_count_by_id,D_DINING_HALL,29,69,0,2.37931034,events
sensor_event_count_by_id,D_FRONT,29,17,0,0.586206897,events
sensor_event_count_by_id,D_HALL_ENT,0,21,0,,events
sensor_event_count_by_id,D_HALL_ENTRANCE,29,0,0,0,events
sensor_event_count_by_id,D_KITCHEN_HALL,29,0,0,0,events
sensor_event_count_by_id,D_KITCH_HALL,0,105,0,,events
sensor_event_count_by_id,D_LIVING_HALL,79,115,0,1.4556962,events
sensor_event_count_by_id,DiningRoom,0,0,3432,,events
sensor_event_count_by_id,GuestRoom,0,0,3098,,events
sensor_event_count_by_id,Kitchen,0,0,12153,,events
