状態	Bathroom	Bedroom	DiningRoom	GuestRoom	Kitchen	LivingRoom	LoungeChair	OtherRoom	OutsideDoor	WorkArea
状態1	0	0	0	0	0	0	0	0	0	0
状態2	0	0	0	0	0	0	1	0	0	0
状態3	0	0	0	0	0	1	1	0	0	0
状態4	0	1	0	0	0	0	0	0	0	0
状態5	0	0	1	0	0	1	1	0	0	0
状態6	1	1	0	0	0	0	0	0	0	0
状態7	0	0	1	0	1	1	1	0	0	0
状態8	1	0	0	0	0	0	0	0	0	0
状態9	1	1	0	0	0	1	0	1	0	0
状態10	0	0	1	0	1	1	0	0	0	0
状態11	0	0	1	0	1	0	0	0	0	0
状態12	0	0	1	1	1	1	1	0	0	0
状態13	1	1	0	1	0	1	0	1	0	0
状態14	0	0	0	0	1	0	0	0	0	0
状態15	0	0	1	1	1	1	0	0	0	0
状態16	1	1	1	1	1	1	0	1	0	0
状態17	0	0	1	0	0	1	0	0	0	0
状態18	0	0	0	0	0	1	0	0	0	0
状態19	0	1	1	1	1	1	0	1	0	0
状態20	0	1	1	1	1	1	1	1	0	0
その他	-	-	-	-	-	-	-	-	-	-
